Block,suillus,fert,above_mass,plantresp,soilresp,soilrespday,soilresppdayg,soilrespyrg,soilrespdaykg,soilrespyrkg,soilrespadj
5,1,C,2.23,2.98681,2.17147,52.11528,0.05211528,19.0220772,5.21E-15,1.90E-12,0.198945085
5,1,N1,0.23,1.08937,0.70755,16.9812,0.0169812,6.198138,1.70E-15,6.20E-13,-0.182051106
5,0,N2,0.44,0.34905,0.43559,10.45416,0.01045416,3.8157684,1.05E-15,3.82E-13,-0.273116403
5,1,N1,1.21,3.52211,0.94085,22.5804,0.0225804,8.241846,2.26E-15,8.24E-13,-0.18161389
5,0,N3,0.97,2.43891,0.66968,16.07232,0.01607232,5.8663968,1.61E-15,5.87E-13,-0.290643218
5,1,N3,0.46,0.74828,0.55629,13.35096,0.01335096,4.8731004,1.34E-15,4.87E-13,-0.247035282
5,0,N2,0.57,1.33856,0.74236,17.81664,0.01781664,6.5030736,1.78E-15,6.50E-13,-0.182842916
5,0,C,0.24,0.36733,0.21478,5.15472,0.00515472,1.8814728,5.15E-16,1.88E-13,-0.585565139
5,0,N1,0.48,0.39254,0.20003,4.80072,0.00480072,1.7522628,4.80E-16,1.75E-13,-0.623439886
5,0,C,0.32,0.3751,0.21017,5.04408,0.00504408,1.8410892,5.04E-16,1.84E-13,-0.597188126
5,1,C,1.64,1.83378,1.19593,28.70232,0.02870232,10.4763468,2.87E-15,1.05E-12,-0.008834367
5,0,N1,1.12,1.31183,0.12614,3.02736,0.00302736,1.1049864,3.03E-16,1.10E-13,-0.95048473
5,1,N2,1.49,3.56461,0.25294,6.07056,0.00607056,2.2157544,6.07E-16,2.22E-13,-0.75337733
6,1,N2,1.08,1.07664,0.84281,20.22744,0.02022744,7.3830156,2.02E-15,7.38E-13,-0.099519821
6,1,N3,0.13,0.10357,0.07221,1.73304,0.00173304,0.6325596,1.73E-16,6.33E-14,-0.920585332
6,0,C,0.22,0.11297,0.10851,2.60424,0.00260424,0.9505476,2.60E-16,9.51E-14,-0.752843086
6,1,N1,2.88,0.98786,0.27508,6.60192,0.00660192,2.4097008,6.60E-16,2.41E-13,-0.576745988
